categoria,atributo,valor,fuente
Computadores,generacion_procesador,Esther (90 nm),solotodo
Computadores,generacion_procesador,Exynos (32 nm),solotodo
Computadores,generacion_procesador,Fire Range (Zen 5) (TSMC N4),solotodo
Computadores,generacion_procesador,Gemini Lake (14 nm),solotodo
Computadores,generacion_procesador,Gemini Lake Refresh (14 nm),solotodo
Computadores,generacion_procesador,Gorgon Point (Zen 5) (TSMC N4),solotodo
Computadores,generacion_procesador,Haswell (22 nm),solotodo
Computadores,generacion_procesador,Hawk Point-HS (Zen 4) (4 nm),solotodo
Computadores,generacion_procesador,Hawk Point-U (Zen 4) (4 nm),solotodo
Computadores,generacion_procesador,Huron (65 nm),solotodo
Computadores,generacion_procesador,Ice Lake (10 nm),solotodo
Computadores,generacion_procesador,Isaiah (65 nm),solotodo
Computadores,generacion_procesador,Ivy Bridge (22 nm),solotodo
Computadores,generacion_procesador,Jaguar (28 nm),solotodo
Computadores,generacion_procesador,Jasper Lake (10 nm),solotodo
Computadores,generacion_procesador,Kabini (28 nm),solotodo
Computadores,generacion_procesador,Kaby Lake (14 nm),solotodo
Computadores,generacion_procesador,Kaby Lake-G (14 nm),solotodo
Computadores,generacion_procesador,Kaby Lake-R (14 nm),solotodo
Computadores,generacion_procesador,Kaveri (28 nm),solotodo
Computadores,generacion_procesador,Keene (90 nm),solotodo
Computadores,generacion_procesador,Krackan Point (Zen 5) (TSMC N4),solotodo
Computadores,generacion_procesador,Kryo 680 (5 nm),solotodo
Computadores,generacion_procesador,Lakefield (10 nm),solotodo
Computadores,generacion_procesador,Lion (65 nm),solotodo
Computadores,generacion_procesador,Llano (32 nm),solotodo
Computadores,generacion_procesador,Lunar Lake (TSMC N6),solotodo
Computadores,generacion_procesador,Mendocino (Zen 2) (6 nm),solotodo
Computadores,generacion_procesador,Merom (65 nm),solotodo
Computadores,generacion_procesador,Merom ULV (65 nm),solotodo
Computadores,generacion_procesador,Meteor Lake-H (Intel 4),solotodo
Computadores,generacion_procesador,Meteor Lake-P (Intel 4),solotodo
Computadores,generacion_procesador,Ontario (40 nm),solotodo
Computadores,generacion_procesador,Oryon (4 nm),solotodo
Computadores,generacion_procesador,Penryn (45 nm),solotodo
Computadores,generacion_procesador,Penryn ULV (45 nm),solotodo
Computadores,generacion_procesador,Phoenix (4 nm),solotodo
Computadores,generacion_procesador,Pineview (45 nm),solotodo
Computadores,generacion_procesador,Puma (28 nm),solotodo
Computadores,generacion_procesador,Raptor Lake-H (10 nm),solotodo
Computadores,generacion_procesador,Raptor Lake-HX (10 nm),solotodo
Computadores,generacion_procesador,Raptor Lake-HX Refresh (10 nm),solotodo
